content	variety
winterfell	atom
(	symbol
ned	constant
)	symbol
.	symbol
winterfell	atom
(	symbol
sansa	constant
)	symbol
.	symbol
winterfell	atom
(	symbol
arya	constant
)	symbol
.	symbol
father	atom
(	symbol
ned	constant
,	symbol
sansa	constant
)	symbol
.	symbol
bastard	atom
(	symbol
jon_Snow	constant
)	symbol
.	symbol
lannister	atom
(	symbol
cercei	constant
)	symbol
.	symbol
lannister	atom
(	symbol
tyrion	constant
)	symbol
.	symbol
lannister	atom
(	symbol
jaime	constant
)	symbol
.	symbol
mother	atom
(	symbol
cercei	constant
,	symbol
joffrey	constant
)	symbol
.	symbol
kill	atom
(	symbol
joffrey	constant
,	symbol
ned	constant
)	symbol
.	symbol
halfman	atom
(	symbol
tyrion	constant
)	symbol
.	symbol
imp	atom
(	symbol
X	variable
)	symbol
:-	symbol
halfman	atom
(	symbol
X	variable
)	symbol
,	symbol
lannister	atom
(	symbol
X	variable
)	symbol
.	symbol
family	atom
(	symbol
cercei	constant
,	symbol
tyrion	constant
,	symbol
jaime	constant
)	symbol
.	symbol
dead2together	atom
(	symbol
cercei	constant
,	symbol
jaime	constant
)	symbol
.	symbol
targaryen	atom
(	symbol
jon_Snow	constant
)	symbol
.	symbol
targaryen	atom
(	symbol
daenerys	constant
)	symbol
.	symbol
friend	atom
(	symbol
jon_Snow	constant
,	symbol
sam	constant
)	symbol
.	symbol
story_end	atom
(	symbol
gameofthrones	constant
)	symbol
:-	symbol
kill	atom
(	symbol
jon_Snow	constant
,	symbol
daenerys	constant
)	symbol
.	symbol
